x,y,z,yaw,name,ds,distance
-46.1183776855469,54.782112121582,0,-0.0747203454375267,via-163,2.17385717920338,304.143112825175
-46.17852,55.174355,0.5245054,-0.4787372,leakage-32,0.396826881218234,304.539939706393
-47.511028,54.799129,0.6899981,0.1185339,leakage-33,1.38433092905563,305.924270635449
-47.0059983121557,54.4794071249944,0.5325,-0.191184459597007,via-164,0.597726578764264,306.521997214213
-47.701439,54.093807,0.5325178,-2.232657,thermal-54,0.795188786833085,307.317186001046
-48.30106,54.727764,0.6980641,-3.0904634,via-165,0.87260920318892,308.189795204235
-51.259216,54.772121,0.7647597,-1.5229384,via-166,2.95848854379817,311.148283748034
-51.432037,51.827133,0.6000924,0.0287477,gauge-4,2.95005447715546,314.098338225189
-51.2755279541016,51.4399299621582,0.5997543,0.122617281973362,gauge-5,0.417637730529652,314.515975955719
-51.243778,50.703701,0.7349684,-1.5618969,loto-1,0.736913254261309,315.25288920998
-51.282673,50.674232,0.7432803,-1.0852611,asset-12,0.0487979813721861,315.301687191352
-51.288567,50.674488,0.7469607,-1.0876161,asset-13,0.00589955693251375,315.307586748285
-51.236,49.3475,0.6813,0.0933,via-167,1.32802878042345,316.635615528708
-48.911888,49.588066,0.6450177,0.0140386,via-168,2.33652917570057,318.972144704409
-48.196686,49.875,0.4807932,0.7559909,leakage-34,0.770613405774905,319.742758110183
-46.425259,49.804192,0.6163823,0.0755876,via-169,1.77284161424336,321.515599724427
-45.9513,50.377,0.46,0.8968,thermal-55,0.743468989632383,322.259068714059
-45.025406,49.732956,0.5918859,-0.0344864,via-170,1.12786185908205,323.386930573141
-43.147816,49.869442,0.5587955,0.0421645,via-171,1.88254419238859,325.26947476553
-43.387093,50.164749,0.4157904,0.852257,leakage-35,0.38007855369384,325.649553319224
-41.81176,49.961441,0.5459118,0.0917749,via-172,1.58839799916551,327.237951318389
-41.430256,50.384724,0.4149978,1.2338318,gauge-6,0.569836643350529,327.80778796174
-41.394924,50.504532,0.4497579,1.8919803,leakage-36,0.124909195370075,327.93269715711
-41.89492,50.616405,0.5755,-1.7731626,loto-2,0.512358827527151,328.445055984637
-40.58165,50.149452,0.5369219,0.0571871,via-173,1.3938160556935,329.83887204033
-37.101032,50.402496,0.5096499,0.0254733,via-174,3.48980413889663,333.328676179227
-37.365452,50.517948,0.3930624,1.2539215,gauge-7,0.288525736640599,333.617201915868
-35.862663,51.179226,0.3489506,0.1312876,via-175,1.64184754828364,335.259049464151
-35.748615,51.225288,0.3698326,1.3796055,leakage-37,0.122998594089523,335.382048058241
-34.529049,51.597248,0.4938631,1.6452252,via-176,1.27502763497738,336.657075693218
-34.752732,53.941788,0.3710437,-1.6090338,asset-14,2.35518617015492,339.012261863373
-34.8460011369869,51.5606233110562,0,1.70250799366754,via-177,2.38299064366337,341.395252507036
-34.8226,54.0506,0,2.0527,via-178,2.49008665003768,343.885339157074
-36.6526,54.9941,0.5443,2.6301,via-179,2.05890559521314,345.944244752287
-36.540958,59.614529,0.5078825,1.6401079,via-180-h,4.62177758878604,350.566022341073
-34.5774220693905,62.2308750796545,0,-0.0151683917373519,via-181,3.27119858145569,353.837220922529
-28.7297583420563,62.4552831451565,0,0.0167,via-182,5.85196804911325,359.689188971642
-26.8365,60.7499,0,0.031,via-183,2.54808924913353,362.237278220776
-16.632,61.3558,0,1.1903,via-184,10.2224720620797,372.459750282855
-15.973351,63.00518,0.4095464,0.0535957,via-185,1.77602727726829,374.235777560124
-4.0758309,63.465031,0.3260978,1.5529609,via-186,11.906403633008,386.142181193132
-4.0693107,68.900719,0.3886068,1.550457,via-187,5.43569191054386,391.577873103675
-8.9577951,70.59893,0.3542743,0.0891664,via-188,5.17505558709898,396.752928690775
-4.39422494558981,71.128435079765,0,-0.0469,via-189-shuttle03-open,4.59418634621196,401.347115036987
0.599734492106052,71.1055270089499,0,-0.0248,via-190-shuttle03-close,4.9940119788663,406.341127015853
2.37345700527196,68.2898134958526,0,-1.5708,via-191,3.32781221548793,409.668939231341
2.9278,60.6546,0,-1.5618,via-192-shuttle02-open,7.65531065882066,417.324249890161
3.1798,56.9251,0,-1.5613,via-193-shuttle02-close,3.73800404627925,421.062253936441
3.15462222006749,49.2394618059999,0,-3.1109,via-194,7.68567943448564,428.747933370926
-10.1483,48.855,0,-1.5698,via-195,13.3084766398502,442.056410010776
-10.0233,46.0216,0,-1.5535,via-196-shuttle01-open,2.83615594775745,444.892565958534
-9.7886,43.0238,0,-1.547,via-197-shuttle01-close,3.0069733836534,447.899539342187
-11.2039149576233,35.2855657036849,0,-2.46685171136625,via-198,7.86659942122,455.766138763407
-18.8105,31.2253,0,-1.5524,via-199,8.62240648493385,464.388545248341
-18.7479,26.8286,0,-0.0185,via-200,4.39714562528921,468.78569087363
-9.7052,26.2849,0,-1.5708,via-201,9.05903046578385,477.844721339414
-9.6611,22.125,0,-2.6455,via-202,4.16013375025371,482.004855089668
-14.4745,19.9965,0,-1.5708,via-203,5.2630154673913,487.267870557059
-13.9211,0.8104,-0.2801,0.0096,via-204,19.1940794197065,506.461949976766
3.1373,1.065,-0.1027,-0.0545,via-205,17.0602998719249,523.522249848691
33.0476,2.5375,-0.1116,0.0326,via-2h-x0,29.9465240443695,553.46877389306
42.0886282266265,2.87682156579368,-0.1450856,-1.5989308,via-2h-x1,9.04739357603445,562.516167469095
41.834301,-2.5242805,-0.270077,-1.5337039,via-2h-x2,5.40708663360633,567.923254102701
