x,y,z,yaw,name,d,distance
-23.479057,54.615002,0.4676282,0.0205796,via-126,2.12168327017041,447.805587777655
-19.6332,54.8387,0.3949,0.0029,via-127,3.85235731204324,451.657945089699
-16.461763,55.137333,0.4088349,1.6534551,via-128,3.18546610618571,454.843411195884
-17.635599,57.076828,0.4646306,0.6609525,leakage-23,2.267053552504,457.110464748388
-17.346962,56.893627,0.4227467,1.4383904,thermal-43,0.341868284826185,457.452333033214
-16.735878,57.307297,0.4499992,0.3787517,thermal-44,0.737933956364659,458.190266989579
-15.639815,57.563099,0.4124569,1.5817239,via-129,1.12551710923157,459.315784098811
-16.632,61.3558,0,1.1903,via-184,3.92033314268392,463.236117241495
-15.973351,63.00518,0.4095464,0.0535957,via-185,1.77602727726829,465.012144518763
-4.0758309,63.465031,0.3260978,1.5529609,via-186,11.906403633008,476.918548151771
-4.0693107,68.900719,0.3886068,1.550457,via-187,5.43569191054386,482.354240062315
-8.9577951,70.59893,0.3542743,0.0891664,via-188,5.17505558709898,487.529295649414
-4.39422494558981,71.128435079765,0,-0.0469,via-189-shuttle03-open,4.59418634621196,492.123481995626
0.599734492106052,71.1055270089499,0,-0.0248,via-190-shuttle03-close,4.9940119788663,497.117493974492
2.37345700527196,68.2898134958526,0,-1.5708,via-191,3.32781221548793,500.44530618998
2.9278,60.6546,0,-1.5618,via-192-shuttle02-open,7.65531065882066,508.100616848801
3.1798,56.9251,0,-1.5613,via-193-shuttle02-close,3.73800404627925,511.83862089508
3.15462222006749,49.2394618059999,0,-3.1109,via-194,7.68567943448564,519.524300329566
-10.1483,48.855,0,-1.5698,via-195,13.3084766398502,532.832776969416
-10.0233,46.0216,0,-1.5535,via-196-shuttle01-open,2.83615594775745,535.668932917173
-9.7886,43.0238,0,-1.547,via-197-shuttle01-close,3.0069733836534,538.675906300827
-11.2039149576233,35.2855657036849,0,-2.46685171136625,via-198,7.86659942122,546.542505722046
-18.8105,31.2253,0,-1.5524,via-199,8.62240648493385,555.16491220698
-18.7479,26.8286,0,-0.0185,via-200,4.39714562528921,559.56205783227
-9.7052,26.2849,0,-1.5708,via-201,9.05903046578385,568.621088298054
-9.6611,22.125,0,-2.6455,via-202,4.16013375025371,572.781222048307
-14.4745,19.9965,0,-1.5708,via-203,5.2630154673913,578.044237515698
-13.9211,0.8104,-0.2801,0.0096,via-204,19.1940794197065,597.238316935405
5.6849623,0.8517954,-0.0915584,0.080237,via-2c-00,19.6061060001884,616.844422935593
5.7003031,-1.817854,-0.0259963,-1.5445398,via-2c-01,2.66969347661206,619.514116412205
6.6620169,-35.854801,-0.3034878,-3.1304672,via-2c-02,34.0505308991493,653.564647311355
3.8578386,-36.165478,-0.2427465,-1.520527,via-2c-03,2.82133587800529,656.38598318936
4.498529,-61.590263,-0.3089453,-3.0976398,via-2c-04,25.4328562392209,681.818839428581
-6.6961093,-62.176796,-0.0745478,-1.5795838,via-2c-05,11.2099932037408,693.028832632322
-6.943058,-64.984901,-0.0704494,-2.2967844,via-2c-06,2.81894259456567,695.847775226887
-8.096961,-67.036903,-0.0438402,-1.5532955,via-2c-07,2.35418868007919,698.201963906967
-7.2939,-102.3566,-0.0438402,-1.381,via-2c-07.5,35.3288253858168,733.530789292783
-6.8959,-104.4342,-0.6562,-1.5533628,via-2c-08,2.11537839641044,735.646167689194
-5.6398654,-105.40159,-0.2681195,-0.0013757,via-2c-09,1.58539153791647,737.23155922711
8.6727123,-105.91624,-0.4878957,-1.543375,via-2c-10,14.3218275733594,751.55338680047
10.3161,-127.819,-0.367378,-1.5666118,via-2c-11,21.9643260481653,773.517712848635
11.0441,-144.2775,-0.367378,-1.5666118,via-2c-11.1,16.4745927491395,789.992305597774
11.5141,-171.1165,-0.367378,-1.5666118,via-2c-12,26.8431149645491,816.835420562324
9.1965446,-177.55186,-0.367378,-1.5666118,via-2c-13,6.83995039175499,823.675370954079
9.5818,-184.6985,-0.0745,-1.5096,via-211,7.1570164882323,830.832387442311
13.0062,-184.47,-0.2800744,0.06318,ChargeIn-final,3.43201509466377,834.264402536975
